Region,Province,Outage Site,Matched Site Name,Latitude,Longitude,Coord Source,Status,Fault,Category,Date/Time Failed,Root Cause / Update
SOUTHERN,Central Prov.,Agevairu BM 3G,Agevairu BM,-9.015210,146.817440,Master BTS List,New,Pending Visit,Gold,,Possible FRD
SOUTHERN,Central Prov.,Gabagaba Junction BM 3G,Gabagaba Junction BM,-9.796850,147.552111,Master BTS List,Unspecified,Affected by BTS Hub,Gold,,Upstream failure
SOUTHERN,Central Prov.,Gabagaba Village BM 3G/4G,Gabagaba Village BM,-9.797592,147.513333,Master BTS List,Current,Vandalized,Gold,,All sectors down. No eyes on power supply
SOUTHERN,Central Prov.,Goldie Barracks BM 3G,Goldie Barracks BM,-9.346131,147.273900,Master BTS List,New,AC Mains,Silver,,All sectors down. No eyes on power supply
SOUTHERN,Central Prov.,Iopara_BM 3G/4G,Iopara New BM,-10.064410,148.213200,Master BTS List,Aging,BTS Equipment,Bronze,,Power Failure
SOUTHERN,Central Prov.,Lalaura_BM 3G,Lalaura,-10.179290,148.368330,Master BTS List,Aging,Tx Equipment,Bronze,,Power Failure
SOUTHERN,Central Prov.,Maopa_BM 3G,Maopa New BM,-10.130089,148.016739,Master BTS List,Aging,Genset Issue - Aging,Silver,,DG failure
SOUTHERN,Central Prov.,Mariboi_BM 3G,Mariboi BM,-8.992589,147.028069,Master BTS List,Aging,BTS Equipment,Bronze,,Power Failure
SOUTHERN,Central Prov.,Matairuka_BM 3G,Matairuka BM,-9.883561,147.803969,Master BTS List,Aging,Genset Issue - Aging,Bronze,,Faulty Stater Battery.
SOUTHERN,Central Prov.,Vanapa_BM 3G,Vanapa BM,-9.100119,147.138500,Master BTS List,Aging,Security Issue,Silver,,Site was Vandalized
SOUTHERN,Central Prov.,Waima Hill_BM 3G,Waima Hill BM,-8.626350,146.469731,Master BTS List,Aging,Security Issue,Bronze,,Site was Vandalized
SOUTHERN,Gulf Prov.,Favenc 3G | HCN P3,Favenc,-6.967716,144.679597,Master BTS List,Pending,Solar Power,Diamond,,ATN down.
SOUTHERN,Gulf Prov.,Misova 3G | HCN P3,Misova,-8.211339,146.299931,Master BTS List,Aging,Tx Equipment,Diamond,,ATN down. DG fault.
SOUTHERN,Gulf Prov.,Uro 3G | HCN P3,Uro,-7.830960,145.632290,Master BTS List,Aging,Vandalized,Diamond,,Site vandalized
SOUTHERN,NCD,Chesterfield BM 3G/4G,Chesterfield BM,-9.477661,147.156348,Master BTS List,Pending,Lease Payment,Gold,,Power Failure.
SOUTHERN,NCD,City Plumbing BM 3G/4G,City Plumbing,-9.426243,147.185916,Master BTS List,New,Pending Visit,Gold,,Power Failure.
SOUTHERN,NCD,Gerehu Gahusi 3G/4G,Gerehu Gahusi,-9.394739,147.166013,Master BTS List,Current,AC Mains,Silver,,Power Failure.
SOUTHERN,NCD,Hubert Murray 3G/4G,Hubert Murray,-9.466431,147.156546,Master BTS List,Current,Tx Equipment,Gold,,Suspected ODU Fault
SOUTHERN,NCD,Skyview 3G/4G,Skyview,-9.432484,147.227733,Master BTS List,Aging,Access Issue,Gold,,Power Failure.
SOUTHERN,Oro Prov.,Girua Airport 3G,Girua Airport,-8.804800,148.323300,Master BTS List,Pending,Fuel Run Dry,Silver,,Fuel Run Dry
SOUTHERN,Oro Prov.,Hohota 3G,Hohota,-8.828500,148.264700,Master BTS List,Pending,Genset Issue - Current,Gold,,DG failure
SOUTHERN,Oro Prov.,Peromba 3G,Peromba,-8.818600,148.102700,Master BTS List,Pending,Fuel Run Dry,Gold,,Fuel Run Dry
SOUTHERN,Oro Prov.,Sumbiripa 3G,Sumbiripa,-8.794500,148.153600,Master BTS List,Aging,Vandalized,Gold,,Vandallism
HIGHLANDS,Chimbu,Chuave_BM 3G,Chuave BM,-6.140347,145.127616,Master BTS List,Aging,Security Issue,Bronze,,Site was Vandalized
HIGHLANDS,Chimbu,Dawagle Kerowagi_BM 3G,Dawagle Kerowagi BM,-5.887431,144.852835,Master BTS List,Aging,Access Issue,Bronze,,DG failure
HIGHLANDS,Chimbu,Mingende West_BM 3G,Mingende West BM,-5.964440,144.888887,Master BTS List,Aging,Security Issue,Silver,,Site was Vandalized
HIGHLANDS,Chimbu,Mogl BM 3G,Mogl BM,-6.024064,144.992036,Master BTS List,Pending,Genset Issue - Aging,Bronze,,Power Failure
HIGHLANDS,Enga Prov.,Irelya 3G/4G,Irelya,-5.506290,143.740860,Master BTS List,Aging,Genset Issue - Current,Bronze,,DG failure
HIGHLANDS,Enga Prov.,Kandep 3G,Kandep,-5.845556,143.512222,Master BTS List,Aging,Security Payment,Bronze,,Power Failure
HIGHLANDS,Enga Prov.,Unda 3G,Unda,-5.700019,143.907400,Master BTS List,Pending,Affected by BTS Hub,Bronze,,All sectors down. No eyes on power supply
HIGHLANDS,Enga Prov.,Wabag Hospital 3G/4G,Wabag Hospital,-5.495400,143.728240,Master BTS List,Pending,Lease Payment,Silver,,Fuel Run Dry
HIGHLANDS,Enga Prov.,Wakumale 3G,Wakumale,-5.496440,143.746990,Master BTS List,Aging,Genset Issue - Current,Bronze,,DG failure
HIGHLANDS,Enga Prov.,Wapanamanda Exchange 3G/4G,Wapenamanda Exchange,-5.666700,143.916700,User-provided (24 Jun 2026),Current,Genset Issue - Current,Silver,,DG failure
HIGHLANDS,Enga Prov.,Yaramanda 3G,Yaramanda,-5.669045,143.921534,Master BTS List,Current,Genset Issue - Current,Silver,,DG failure
HIGHLANDS,HELA,HELA Rooftop 3G/4G,Tari Exchange (hub - affected site),-5.847777,142.944160,Master BTS List (approx.),Unspecified,Affected by BTS Hub,Gold,,Power Failure
HIGHLANDS,HELA,Tari Exchange 3G/4G,Tari Exchange,-5.847777,142.944160,Master BTS List,Current,Fuel Run Dry,Gold,,Exchange down
HIGHLANDS,Hagen Town,HTTC 3G/4G,HTTC,-5.864565,144.238730,Master BTS List,Current,AC Mains,Gold,,90dBm at far end on radio. i.e. no power supply
HIGHLANDS,Hagen Town,Hagen BM MGW 3G/4G,Hagen BSC/MGW,-5.861592,144.225897,Master BTS List,New,Genset Issue - Current,Gold,,DG Failure
HIGHLANDS,Hagen Town,"Kimininga 3G/4G, BM 3G",Kimininga Lodge BM,-5.848424,144.245668,Master BTS List,New,AC Mains,Gold,,DG Failure
HIGHLANDS,JIWAKA,Bekpe BM 3G,Bekpe,-5.924000,144.742286,Master BTS List,Aging,Pending Visit,Silver,,DG failure
HIGHLANDS,JIWAKA,Nol Community School 3G,Nol,-5.889420,144.659220,Master BTS List,Aging,Security Payment,Silver,,TX Equipment
HIGHLANDS,JIWAKA,Nondugul New 3G,Nondugul_New,-5.863980,144.769200,Master BTS List,Aging,Vandalized,Silver,,Site was Vandalized
HIGHLANDS,Southern Highlands,Gia Secondary BM 3G,Gia Secondary BM,-6.012534,144.030074,Master BTS List,Pending,Solar Power,Silver,,All sectors down. No eyes on power supply
HIGHLANDS,Southern Highlands,Imi 3G/4G,Imi,-6.120800,144.137280,Master BTS List,New,Affected by HCN,Silver,,Upstream failure
HIGHLANDS,Southern Highlands,Kiburu 3G/4G,Kiburu,-6.203500,143.662100,User-provided (24 Jun 2026),Pending,Security Payment,Gold,,DG failure
HIGHLANDS,Southern Highlands,Kumin 3G/4G,Kumin,-6.156024,143.661746,Master BTS List,Current,Genset Issue - Current,Gold,,DG failure
HIGHLANDS,Southern Highlands,Magnet Hill 3G/4G,Magnet Hill,-6.443167,144.103111,Master BTS List,Current,Genset Issue - Current,Gold,,DG failure
HIGHLANDS,Southern Highlands,Mendi Road 3G/4G,Mendi Road,-6.226450,143.774630,Master BTS List,Pending,Pending Visit,Gold,,DG failure
HIGHLANDS,Southern Highlands,Pangia Road 3G/4G,Pangia Road,-6.371330,144.046160,Master BTS List,Unspecified,Affected by BTS Hub,Gold,,Upstream failure
HIGHLANDS,Southern Highlands,Pangia Station 3G/4G,Pangia,-6.381230,144.109980,Master BTS List,Unspecified,Affected by BTS Hub,Gold,,Upstream failure
HIGHLANDS,Southern Highlands,Piambil BM 3G/4G,Piambil BM,-6.043653,144.032313,Master BTS List,Pending,Solar Power,Gold,,All sectors down. No eyes on power supply
HIGHLANDS,Southern Highlands,Pograpul 3G/4G,Pograpul,-6.167500,144.005140,Master BTS List,Pending,Genset Issue - Current,Gold,,DG Faulty
HIGHLANDS,Western Highlands Prov.,Kaimunda 3G,Kaimunda_New,-5.744180,144.484860,Master BTS List,Aging,BTS Equipment,Silver,,UBBPd2 Card Faulty.
HIGHLANDS,Western Highlands Prov.,Kuli Gap BM 3G/4G,Kuli Gap BM,-5.829410,144.373950,Master BTS List,Pending,Security Issue,Silver,,Theft Issue
HIGHLANDS,Western Highlands Prov.,Kuta 3G | BM 3G,Kuta Ridge,-5.918119,144.223819,Master BTS List,Aging,Pending Visit,Silver,,All sectors down. No eyes on power supply
MOMASE,East Sepik Province,Angoram Station 3G,Angoram Station,-4.056224,144.072616,Master BTS List,Pending,Tx Equipment,Gold,,All sectors down. ODU fault
MOMASE,East Sepik Province,Boram 3G/4G,S2_WWK(Boram),-3.576640,143.657870,Master BTS List,Pending,Access Issue,Diamond,,DG failure
MOMASE,East Sepik Province,Dagua Market 3G/4G,S1_WWK(Dagua Market),-3.564574,143.622797,Master BTS List,Pending,Genset Issue - Current,Silver,,AC Alternator Faulty
MOMASE,East Sepik Province,Drekikier Station 3G,Drekikier Stn,-3.579452,142.769077,Master BTS List,Aging,Genset Issue - Current,Silver,,DG failure
MOMASE,East Sepik Province,Hawain 3G,Hawain,-3.502280,143.485470,Master BTS List,Unspecified,Affected by BTS Hub,Silver,,Upstream failure
MOMASE,East Sepik Province,Heriruo 3G,Heriruo,-3.685578,143.279799,Master BTS List,New,Fuel Run Dry,Gold,,Fuel Run Dry
MOMASE,East Sepik Province,Heyfield 3G,Hayfield,-3.747020,143.053770,Master BTS List,Pending,Fuel Run Dry,Silver,,90dBm at far end on radio. i.e. no power supply
